channel_id,channel_title,channel_name
UCaKLg1ELiX0zTJ6Je3c5esA,Atta Halilintar,Atta
UC4tS4Q_Cno5JVcIUXxQOOpA,Ricis Official,Ricis
UCvh1at6xpV1ytYOAzxmqUsA,Jess No Limit,JessNoLimit
UCvA9_f5Lwk-poMynabtrZPg,Rans Entertainment,Rans
UCfRNJiafEm1LBBGFTTq4cXw,GEN HALILINTAR,GEN
UC24_Z2L-8Ki183AI9zJJzNQ,TRANS7 OFFICIAL,TRANS7
UC5xAPCVizxOfnMECMXkal2Q,Baim Paula,Baim
UCYqOeAXJm8yV9sJ8Ud3cR7A,Indosiar,Indosiar
UC4hGmH5sABOA70D4fGb8qNQ,Frost Diamond,FrostDiamond
UCtjFp8VXWIscsqQ2wokpo3Q,Naisa Alifia Yuriza (N.A.Y),N.A.Y
UCEIdGryox368qWinrZ9eA8A,SAAIHALILINTAR,SAAIHALILINTAR
UC_vsErcsq56hOscPHkG-aVw,Surya Citra Televisi (SCTV),SCTV
UC3J4Q1grz46bdJ7NJLd4DGw,MiawAug,MiawMiawAug
UCgiO267R4Qo-SJF2UzH5ccQ,The Shiny Peanut,ShinyPeanut
UCIohHXwCEKxWCLvAguJ-GjA,TRANS TV Official,TRANSTV
UClIYfCAhMAlacxT0e_sl1uA,Kerajinan 5-Menit,Kerajinan
UCYk4LJI0Pr6RBDWowMm-KUw,Deddy Corbuzier,DeddyCorbuzier
UCXdmo_q4SawYMz-dmeKEHPQ,Dyland PROS,Dyland
UCQW2tTNJ40V2T6MqV1eMZ0w,Daftar Populer,DaftarPopuler
UC5v3gjCQLFeg8eBXO7ShdpQ,BabyBus - Cerita & Lagu Anak-anak,BabyBus
UCfx3oPv3cJm2aCJ7UnhKx8A,Arif muhammad,Arifmuhammad
UCzTsWuCdVP_vehWyGwPcS3Q,RCTI - LAYAR DRAMA INDONESIA,RCTI
UCAelPgCHWYyEs8-TFuOVRtg,Zuni and Family,ZuniandFamily
UC8rHUssNDJ9YEjfduAqJBmw,tanboy kun,tanboy
UC34xi8JB1AKSotPUKHywbaA,MNCTV Official,MNCTV
UCvc00uetYIML9D-7BBrEXLA,Yudist Ardhana,YudistArdhana
UC0rzsIrAxF4kCsALP6J2EsA,Raditya Dika,RadityaDika
UCo1CFjot3CX97sn_ngJnGPg,Ini Talk Show,IniTalkShow
UCW6fcXU68QShoXPkxnPxATw,FrontaL Gaming,FrontaL
UCXhg6jUrkGLiiwk7Zr13SuQ,Islam Populer,IslamPopuler
UCK80fj7o9HUEWvobSVp2J-Q,PANJI PETUALANG,PANJIPETUALANG
UC8qp0ZmavLOGeSdLxSUZO8w,BUDI01 GAMING,BUDI01
UCCEs4SbttY3l73m0WsZix3g,kemas pake z,Kemas
UChvdpkJqIaVo7kbKPtmKXhA,NAGASWARA Official Video | Indonesian Music Channel,Nagaswara
UCui_SuV6CzSgB1bdwL5utzg,Like Nastya IDN,LikeNastya
UC_SBt2BFBkExq_azj-P5lNA,Nessie Judge,NessieJudge
UCg_GNu-J5_naq-k1kUfq1Rw,Rendy Rangers,RendyRangers
UCgYmNAhjfv5GYWBOfzp831Q,Maell Lee,MaellLee
UCJvQLi9uJEGBpD8t3DZyHpw,The Onsu Family,OnsuFamily
UCGooqe5Poe7wK6xmScAm4Kw,Daftar5,Daftar5
UCHtehvb3p55uRCQBDCwF-ow,Erpan1140,Erpan1140
UCV2jNjJEtO0Hr3b1Es3xPJg,Nussa Official,Nussa
UCi_ujFc2fgNt21RgVY5hvGg,FATEH HALILINTAR,FATEH
UCKII0Ml9S5wneKbHswmUrIQ,CNN Indonesia,CNN
UCtGmhXT_NSTK5j_r9a9xdYA,Troom Troom Indonesia,TroomTroomIndonesia
UCJdzixqmMBoCMoMkrQ8F8FQ,Angga Candra,AnggaCandra
UCa3k1_nfBeXbf7be6Dcy_vQ,Sara Wijayanto,SaraWijayanto
UCnN-PlxUJifRxrtyb2vgk7w,The LetsPlay Family,TheLetsPlayFamily
UC5A_pdnOOcMsaBzFAHiTMLg,Cumicumi,Cumicumi
UCCsHdU66sCbEtklvSVAGPsQ,LetDa Hyper,LetDaHyper
UC5IA7MpYcbhbA28RgyQrV0A,animasinopal,animasinopal
UCyIEVMhLpr-zmqZN9v2Ka_w,Sidul Tube,Sidul
UCZWk_k207M--sLScrLdM3JQ,SULE Channel,SULE
UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,GadgetIn
UCrmgXElfpFPD9LDc_0aUfew,Netmediatama,Netmedia
UCgVHGvujcrBaXP8vUJ_SzIw,Vega Animation Studio,VegaAnimationStudio
UCxHRAILTOBZNR8J9GZFaniw,TRI SUAKA CHANNEL,TRISUAKA
UCZB0J8mVXqPe3ej6UYlS4DQ,Hi Patrick,HiPatrick
UCFuM3BWlLM3YbLjkXBiJ8-A,Jessica Jane,JessicaJane
UC7-sh4gtS5oJkwqOyt8s3CQ,deHakims,deHakims
UCo8h2TY_uBkAVUIc14m_KCA,Najwa Shihab,NajwaShihab
UCXT5s05a6LQsP9q83W5hY_A,WAWAN MKS,WAWANMKS
UCgqAMw2V_Ddy4SfmovUTh8Q,hasanjr11,hasanjr11
UCrrimexxJpH-zLIrg_IPV_w,MOP Channel,MOP
UC7GWXKxiy9_AU9TytEh00eg,Rizky Riplay,RizkyRiplay
UCs89kFyfKM24SFFAb_vqpBQ,Ani Nurhayani,AniNurhayani
UCkjCVt4XfWH_S_2_ayNTTIA,86 & Custom Protection NET,86NET
UC4AXZK3XiR-kz1Nk01LhxmQ,fikrifadlu,fikrifadlu
UCpr5mSSUbIQU816dNjaDdyg,Indonesian Idol,IndonesianIdol
UCeZA77FZSG4YzBcvBJ9eynA,SABYAN,SABYAN
UC3e0KfJEE6s46nn6_N-DMaQ,MD Entertainment,MDEntertainment
UC5Tg_aUYKBtpnGipTVqDDuQ,Lagu Anak Indonesia Balita,LaguAnakBalita
UCciyMo0ShVMAlYp3SWAaBcw,Natasha Wilona,NatashaWilona
UCUE-BF1Q5E6Sz1KidSnSRYw,musisi jogja project,musisijogjaproject
UCKFC1LYWw1fbe9LNfm2vEPg,jurnalrisa,jurnalrisa
UCe2MSygA15htoLQvflJabmA,Ismi n Hidayah,IsmiHidayat
UC1Gmqqs_Myzl2KHIeqfUC9A,Nihongo Mantappu,NihongoMantappu
UC1nqMqjwWkcN80yfHM6Hcow,Aishwa Nahla Official,AishwaNahla
UCUaZwCnn6Z-16BmkKngSs0g,Tayo Bus Kecil - Tayo Bahasa Indonesia,Tayo
UCPgrYeWcpOkyejYpKWf22zQ,Maul Ibra,MaulIbra
UCRFaDqnG9BDE4mpRlXt8pNg,JalanTikus,JalanTikus
UC4yFyIPBcHKXplfjsEZ_t8A,Thariq Halilintar,Thariq
UCIqzqfsgUqctbM-MANntwuQ,Putih Abu-Abu,PutihAbuAbu
UCww1ChPmojYTXoor8q5tsqQ,Vincent Raditya,VincentRaditya
UChC0SS7gzZcoNJShR9Qh8Nw,The Hermansyah A6,TheHermansyahA
UC6SPCnTAIanF2_8ST2wrQzw,TAULANY TV,TAULANY
UCS7H8U-n5mINVJjJsaRtGHg,Shaun the Sheep [BahasaIndonesia],ShaunSheep
UC2lCrx1QJF_hLT4atkZf6Ew,HALILINTAR LENGGOGENI,HALILINTAR
UCSg-Y9uI1E-my-I4WKKioEQ,SISI TERANG,SISITERANG
UC6it8Tc6yFFVcbhp8W4OsIQ,NAYofficial,NAY
UCIWUnAI0GL4LDfCUeOOq7xg,efdewe,efdewe
UC6-YfN15oLcbL4I7RGbuKnA,Tokek,Tokek
UCebb7o98FEA73WjNsCja5Xg,Trinity Optima Production,TrinityOptima
UCVB4ZivEBReX0f2rrz7JL-A,Fakta Populer,FaktaPopuler
UCNYvkAHBuLfOzUBuR1Uvv9w,Hobby Makan,HobbyMakan
UCveWi6uuOZbGODjcVWJMW7Q,Kananda Widyantara,KanandaWidyantara
UCXkRFUruW9lg4hEBILMVkPQ,Korea Reomit,KoreaReomit
UC8J8jWVZK9isJAU579ulheg,Obbyphy,Obbyphy
UC-ASDT9n-sUPwA7uUPN0OoQ,Calon Sarjana,CalonSarjana
UCujcefJzhIMthewp1l5Rc7Q,syam kapuk,syamkapuk
UC72YzxWLsng_rTrTMYlFLgw,Ibu dan Balita Indonesia,IbudanBalita
UClEZXxVmQTI5o-ZFT_HDXvA,MAQ,MAQ
UC_ZTmAt4G3AotY5RtfDK3Pg,Edho Zell,EdhoZell
UC0ohl1eKTtlJNqbD-HWRQVg,MILYHYA,MILYHYA
UC9OUldB9j6PS5_WP77Lz0Uw,LESTI CHANNEL,LESTI
UCrmaNLTz1x931Ig5Yuauf2w,Hanin Dhiya,HaninDhiya
